,FIPS,State,County,Health_Outcome_Rank,Health_Factor_Rank,year
0,1003,Alabama,Baldwin,3,3,2010
1,1005,Alabama,Barbour,45,54,2010
2,1007,Alabama,Bibb,51,19,2010
3,1009,Alabama,Blount,10,9,2010
4,1011,Alabama,Bullock,63,62,2010
5,1013,Alabama,Butler,55,60,2010
6,1015,Alabama,Calhoun,46,30,2010
7,1017,Alabama,Chambers,28,47,2010
8,1019,Alabama,Cherokee,44,38,2010
9,1021,Alabama,Chilton,57,35,2010
10,1023,Alabama,Choctaw,49,33,2010
11,1025,Alabama,Clarke,21,49,2010
12,1027,Alabama,Clay,27,43,2010
13,1029,Alabama,Cleburne,32,20,2010
14,1031,Alabama,Coffee,9,13,2010
15,1033,Alabama,Colbert,30,37,2010
16,1035,Alabama,Conecuh,56,57,2010
17,1037,Alabama,Coosa,50,51,2010
18,1039,Alabama,Covington,16,53,2010
19,1041,Alabama,Crenshaw,24,52,2010
20,1043,Alabama,Cullman,15,7,2010
21,1045,Alabama,Dale,11,34,2010
22,1047,Alabama,Dallas,62,63,2010
23,1049,Alabama,DeKalb,19,40,2010
24,1051,Alabama,Elmore,7,5,2010
25,1053,Alabama,Escambia,47,58,2010
26,1055,Alabama,Etowah,34,28,2010
27,1057,Alabama,Fayette,59,14,2010
28,1059,Alabama,Franklin,41,32,2010
29,1061,Alabama,Geneva,13,26,2010
30,1063,Alabama,Greene,66,66,2010
31,1065,Alabama,Hale,48,59,2010
32,1067,Alabama,Henry,29,44,2010
33,1069,Alabama,Houston,8,12,2010
34,1071,Alabama,Jackson,35,42,2010
35,1073,Alabama,Jefferson,26,31,2010
36,1075,Alabama,Lamar,17,29,2010
37,1077,Alabama,Lauderdale,12,6,2010
38,1079,Alabama,Lawrence,39,16,2010
39,1081,Alabama,Lee,2,11,2010
40,1083,Alabama,Limestone,6,4,2010
41,1085,Alabama,Lowndes,64,67,2010
42,1087,Alabama,Macon,52,39,2010
43,1089,Alabama,Madison,4,2,2010
44,1091,Alabama,Marengo,58,45,2010
45,1093,Alabama,Marion,43,15,2010
46,1095,Alabama,Marshall,25,24,2010
47,1097,Alabama,Mobile,42,22,2010
48,1099,Alabama,Monroe,38,56,2010
49,1101,Alabama,Montgomery,20,18,2010
50,1103,Alabama,Morgan,5,21,2010
51,1105,Alabama,Perry,67,64,2010
52,1107,Alabama,Pickens,36,23,2010
53,1109,Alabama,Pike,37,46,2010
54,1111,Alabama,Randolph,31,50,2010
55,1113,Alabama,Russell,54,48,2010
56,1115,Alabama,St. Clair,18,17,2010
57,1117,Alabama,Shelby,1,1,2010
58,1119,Alabama,Sumter,61,61,2010
59,1121,Alabama,Talladega,53,27,2010
60,1123,Alabama,Tallapoosa,40,55,2010
61,1125,Alabama,Tuscaloosa,22,8,2010
62,1127,Alabama,Walker,65,25,2010
63,1129,Alabama,Washington,14,36,2010
64,1131,Alabama,Wilcox,60,65,2010
65,1133,Alabama,Winston,33,41,2010
66,2013,Alaska,Aleutians East,NR,NR,2010
67,2016,Alaska,Aleutians West,7,12,2010
68,2020,Alaska,Anchorage,11,3,2010
69,2050,Alaska,Bethel,18,20,2010
70,2060,Alaska,Bristol Bay,NR,NR,2010
71,2068,Alaska,Denali,NR,NR,2010
72,2070,Alaska,Dillingham,9,15,2010
73,2090,Alaska,Fairbanks North Star,5,4,2010
74,2100,Alaska,Haines,13,6,2010
75,2110,Alaska,Juneau,1,1,2010
76,2122,Alaska,Kenai Peninsula,8,9,2010
77,2130,Alaska,Ketchikan Gateway,10,10,2010
78,2150,Alaska,Kodiak Island,3,5,2010
79,2164,Alaska,Lake and Peninsula,NR,NR,2010
80,2170,Alaska,Matanuska-Susitna,16,7,2010
81,2180,Alaska,Nome,21,19,2010
