State_y,County,county_fips,year,pharmacies_per_county_year,tot_claims,tot_30day_fills,tot_drug_cost,tot_days_supply,tot_beneficiaries,avg_bene_age,Health_Outcome_Rank,Health_Factor_Rank,labor_force,employed,unemployed,unemployment_rate
AK,Aleutians East,2013,2014,0,1543,2515.2,101236.2,69125,252,72.20652174,16,16,2219,2121,98,4.4
AK,Aleutians East,2013,2015,1,1265,2095.733333,87137.34,58674,211,70.5352989,16,16,2472,2395,77,3.1
AK,Aleutians East,2013,2016,2,1977,3104.066667,144648.87,84565,250,66.71569374,16,16,2589,2523,66,2.5
AK,Aleutians East,2013,2018,2,1451,2550.366667,112767.33,67572,435,69.87431508,16,16,2316,2250,66,2.8
AK,Aleutians East,2013,2019,1,92,136.4333333,11567.95,2963,42,70.14285714,16,16,2544,2483,61,2.4
AK,Aleutians East,2013,2021,0,36,70.8,7568.56,1944,0,73.55555556,16,16,2433,2373,60,2.5
AK,Aleutians West,2016,2014,4,2942,3410.7,98123.49,80178,590,66.08583004,8,13,4464,4253,211,4.7
AK,Aleutians West,2016,2015,4,2154,2448.433333,116836.98,54068,486,67.70386446,2,12,4060,3908,152,3.7
AK,Aleutians West,2016,2016,3,339,443.4333333,13746.58,8039,148,65.22158249,10,12,3982,3856,126,3.2
AK,Aleutians West,2016,2018,2,803,1490.433333,75760.34,38918,218,66.79212746,19,9,3639,3521,118,3.2
AK,Aleutians West,2016,2019,2,1032,1901.9,82351.98,47334,336,65.80040898,17,7,3633,3516,117,3.2
AK,Aleutians West,2016,2020,1,2856,4585.633333,202780.73,109468,466,71.90724812,17,10,3826,3645,181,4.7
AK,Aleutians West,2016,2021,3,2105,3704.6,198060.17,93083,571,70.70655832,16,12,3502,3368,134,3.8
AK,Anchorage,2020,2014,411,755247,972303.3,72113810.27,20362987,61723,67.01479231,13,3,157650,149591,8059,5.1
AK,Anchorage,2020,2015,1,81,81,2450.79,767,60,69.41666667,12,2,156476,148856,7620,4.9
AK,Anchorage,2020,2015,403,741090,981078.6333,77231209.66,21055018,63584,67.60055982,12,2,156476,148856,7620,4.9
AK,Anchorage,2020,2016,1,85,88.73333333,1226.16,840,66,71.25757576,13,4,155471,147254,8217,5.3
AK,Anchorage,2020,2016,399,645948,910525.9333,77059911.05,22401251,66640,67.88650733,13,4,155471,147254,8217,5.3
AK,Anchorage,2020,2018,361,691306,1024380.4,90889602.66,25563039,79722,68.43383922,10,2,150748,143152,7596,5
AK,Anchorage,2020,2019,1,21,21,224.54,155,16,67.125,10,2,148251,141396,6855,4.6
AK,Anchorage,2020,2019,376,895653,1469558.567,138387863.4,37948618,117317,69.43818193,10,2,148251,141396,6855,4.6
AK,Anchorage,2020,2020,1,52,52,603.33,431,36,68.41666667,10,5,147063,135425,11638,7.9
AK,Anchorage,2020,2020,345,924817,1563205.033,156210789.7,41090078,110943,68.22025065,10,5,147063,135425,11638,7.9
AK,Anchorage,2020,2021,1,75,75,1071.55,590,52,64.40384615,9,4,149263,140525,8738,5.9
AK,Anchorage,2020,2021,337,922285,1593043.567,168244027.7,42095167,115532,70.31437239,9,4,149263,140525,8738,5.9
AK,Bethel,2050,2014,55,100716,120231.2333,6100747.55,2541535,9167,70.40665034,19,21,7270,6120,1150,15.8
AK,Bethel,2050,2015,50,101129,121491,6242371.93,2550072,9264,71.28260192,19,19,7325,6304,1021,13.9
AK,Bethel,2050,2016,49,87448,109077.2,6925573.65,2621047,9489,71.67095157,19,23,7219,6230,989,13.7
AK,Bethel,2050,2018,45,101938,145225.9333,9486895.06,3636853,11428,71.3362434,21,23,7136,6287,849,11.9
AK,Bethel,2050,2019,53,115934,175105.2333,11690162.73,4437360,15096,72.40224948,21,22,7081,6235,846,11.9
AK,Bethel,2050,2020,50,118267,183282.4333,13613928.81,4696725,14370,72.2272737,21,24,6982,6120,862,12.3
AK,Bethel,2050,2021,52,116062,182126.3,13319090.11,4658208,14026,72.60353625,23,24,6848,5959,889,13
AK,Bristol Bay,2060,2014,0,27,55.6,2145.32,1639,0,68.2,16,16,495,456,39,7.9
AK,Bristol Bay,2060,2016,2,59,107.3333333,4585.15,2763,0,66.21851852,15,13,413,385,28,6.8
AK,Bristol Bay,2060,2018,2,62,106.7,10799.42,2736,0,64.83333333,15,15,447,422,25,5.6
AK,Bristol Bay,2060,2019,2,116,273.2333333,15660.35,7560,27,71.54031385,14,14,449,424,25,5.6
AK,Bristol Bay,2060,2020,2,90,216.0333333,17480.79,5898,14,71.49603175,16,16,393,362,31,7.9
AK,Bristol Bay,2060,2021,1,271,472.6666667,36548.77,12322,62,72.64396655,16,16,444,419,25,5.6
AK,Denali,2068,2014,1,283,302.8,13383.58,7434,73,72.31693989,16,16,1068,959,109,10.2
AK,Denali,2068,2015,1,275,374,7118.98,10195,67,70.19294118,16,16,1066,976,90,8.4
AK,Denali,2068,2016,1,232,442.3,16764.56,12096,66,69.73120301,16,16,1091,996,95,8.7
