zip5,county_fips,zcta_pct
00601,72001,99.43
00601,72141,0.57
00602,72003,100
00603,72005,100
00606,72093,94.88
00606,72121,1.35
00606,72153,3.78
00610,72003,0.55
00610,72011,99.45
00612,72013,99.89
00612,72017,0.11
00616,72013,100
00617,72017,99.43
00617,72054,0.57
00622,72023,100
00623,72023,100
00624,72111,92.53
00624,72113,7.47
00627,72027,100
00631,72001,32.99
00631,72081,67.01
00637,72121,99.56
00637,72153,0.44
00638,72039,98.27
00638,72091,1.73
00641,72001,0.21
00641,72141,99.79
00646,72051,99.89
00646,72143,0.11
00647,72055,98.88
00647,72079,1.12
00650,72013,1.51
00650,72017,1.91
00650,72039,1.13
00650,72054,83.61
00650,72141,11.84
00652,72013,100
00653,72055,100
00656,72059,100
00659,72065,100
00660,72067,100
00662,72071,100
00664,72073,99.15
00664,72141,0.85
00667,72079,98.91
00667,72125,1.09
00669,72081,99.22
00669,72083,0.62
00669,72131,0.16
00670,72011,1.12
00670,72083,98.88
00674,72091,98.49
00674,72145,1.51
00676,72003,0.51
00676,72099,99.49
00677,72003,0.47
00677,72117,99.53
00678,72071,5.36
00678,72115,93.17
00678,72131,1.47
00680,72011,0.46
00680,72097,97.01
00680,72125,2.53
00682,72097,100
00683,72125,100
00685,72071,2
00685,72131,98
00687,72101,100
00688,72013,100
00690,72005,100
00692,72143,100
00693,72143,3.93
00693,72145,96.07
00694,72145,100
00698,72059,0.24
00698,72153,99.76
00703,72007,95.47
00703,72045,4.53
00704,72057,7.72
00704,72123,92.28
00705,72009,99.79
00705,72043,0.21
00707,72095,100
00714,72015,100
00715,72075,25.74
00715,72113,74.26
00716,72113,100
00717,72113,100
00718,72103,100
00719,72047,1.42
00719,72105,98.1
00719,72135,0.48
00720,72043,0.52
00720,72107,99.48
00723,72109,100
00725,72007,1.51
00725,72025,94.56
00725,72035,0.43
00725,72061,2.76
00725,72127,0.6
00725,72129,0.14
00727,72025,100
00728,72113,100
00729,72029,87.09
00729,72087,12.91
00730,72113,100
00731,72001,2.2
00731,72113,97.8
00735,72037,99.18
00735,72103,0.82
00736,72035,92.62
00736,72041,7.38
00738,72053,100
00739,72041,100
00740,72053,100
00741,72069,100
00745,72029,1.4
00745,72119,98.6
00751,72123,100
00754,72129,100
00757,72133,100
00765,72147,100
00766,72107,1.57
00766,72149,98.43
00767,72069,0.21
00767,72151,99.79
00769,72043,100
00771,72085,100
00772,72087,100
00773,72089,100
00775,72049,100
00777,72029,0.16
00777,72063,0.12
00777,72077,99.03
00777,72085,0.69
00778,72063,99.76
00778,72129,0.24
00780,72075,4.46
00780,72113,95.54
00782,72045,100
00783,72047,100
00784,72057,100
00786,72009,100
00791,72069,100
00794,72019,99.13
00794,72043,0.29
00794,72045,0.59
00795,72075,100
00901,72127,100
00906,72127,100
00907,72127,100
00909,72127,100
00911,72127,100
00912,72127,100
00913,72127,100
00915,72127,100
00917,72127,100
00918,72127,100
00920,72127,100
00921,72127,100
00923,72127,100
00924,72031,4.14
00924,72127,95.86
00925,72127,100
00926,72061,0.39
00926,72127,88.13
00926,72139,11.47
00927,72127,100
00934,72021,42.01
00934,72061,57.99
00936,72127,100
00949,72033,4.15
00949,72137,95.85
00950,72051,100
00951,72137,100
00952,72137,100
00953,72047,0.2
00953,72135,98.93
00953,72137,0.87
00956,72021,99.8
00956,72135,0.2
00957,72021,97.07
00957,72135,2.93
00959,72021,97.64
00959,72061,1.88
00959,72135,0.36
00959,72137,0.12
00960,72021,100
00961,72021,98.88
00961,72033,1.12
00962,72033,100
00965,72033,20.48
00965,72061,79.52
00966,72021,3.12
00966,72061,91.02
00966,72127,5.86
00968,72061,100
00969,72021,1.6
00969,72061,84.94
00969,72127,13.45
00971,72021,0.33
00971,72061,99.51
00971,72127,0.16
00976,72031,2.87
00976,72127,1.98
00976,72139,95.15
00979,72031,100
00982,72031,100
00983,72031,100
00985,72031,100
00987,72031,99.42
00987,72139,0.58
01001,25013,100
01002,25011,0.97
01002,25015,99.03
01003,25015,100
01005,25027,100
01007,25015,100
01008,25013,100
01009,25013,100
01010,25013,100
01011,25013,86.35
01011,25015,13.65
01012,25015,100
01013,25013,100
01020,25013,100
01022,25013,100
01026,25015,100
01027,25015,100
01028,25013,100
01029,25003,100
01030,25013,100
01031,25027,100
01032,25015,100
01033,25015,100
01034,25013,100
01035,25015,100
01036,25013,100
01037,25027,100
01038,25015,100
01039,25011,15.12
01039,25015,84.88
01040,25013,100
01050,25013,13.83
01050,25015,86.17
01053,25015,100
01054,25011,100
01056,25013,100
01057,25013,100
01060,25015,100
01062,25015,100
01063,25015,100
01066,25015,100
01068,25027,100
01069,25013,100
01070,25015,100
01071,25013,100
01072,25011,100
01073,25015,100
01074,25027,100
01075,25015,100
01077,25013,100
01079,25013,100
01080,25013,100
01081,25013,100
01082,25015,95.64
01082,25027,4.36
01083,25027,100
01084,25015,100
01085,25013,100
01086,25013,100
01088,25015,100
01089,25013,100
01092,25027,100
01093,25011,100
01094,25027,100
01095,25013,100
01096,25015,100
01097,25013,100
01098,25015,100
01103,25013,100
01104,25013,100
01105,25013,100
01106,25013,100
01107,25013,100
01108,25013,100
01109,25013,100
01118,25013,100
01119,25013,100
01128,25013,100
01129,25013,100
01151,25013,100
01199,25013,0
01201,25003,100
01220,25003,100
01222,25003,100
01223,25003,100
01224,25003,100
01225,25003,100
01226,25003,100
01229,25003,100
01230,25003,100
01235,25003,100
01236,25003,100
01237,25003,100
01238,25003,100
01240,25003,100
01242,25003,100
01243,25015,100
01244,25003,100
01245,25003,100
01247,25003,100
01253,25003,100
01254,25003,100
01255,25003,100
01256,25003,100
01257,25003,100
01258,25003,100
01259,25003,100
01260,25003,100
01262,25003,100
01264,25003,100
01266,25003,100
01267,25003,100
01270,25003,100
01301,25011,100
01330,25011,100
01331,25027,100
01337,25011,100
01338,25011,100
01339,25011,100
01340,25011,100
01341,25011,100
01342,25011,100
01343,25003,100
01344,25011,100
01346,25011,100
01347,25011,100
01349,25011,100
01350,25011,100
01351,25011,100
01354,25011,100
01355,25011,100
01360,25011,100
01364,25011,100
01366,25027,100
01367,25011,100
01368,25027,100
01370,25011,100
01373,25011,100
01375,25011,100
01376,25011,100
01378,25011,100
01379,25011,100
01420,25027,100
01430,25027,100
01431,25017,100
01432,25017,100
01434,25017,18.83
01434,25027,81.17
01436,25027,100
01438,25027,100
01440,25027,100
01450,25017,100
01451,25027,100
01452,25027,100
01453,25027,100
01460,25017,100
01462,25027,100
01463,25017,100
01464,25017,100
01467,25027,100
01468,25027,100
01469,25017,100
01473,25027,100
01474,25017,100
01475,25027,100
01501,25027,100
01503,25027,100
01504,25027,100
01505,25027,100
01506,25027,100
01507,25027,100
01510,25027,100
01515,25027,100
01516,25027,100
01518,25027,100
01519,25027,100
01520,25027,100
01521,25013,100
01522,25027,100
01523,25027,100
01524,25027,100
01525,25027,100
01527,25027,100
01529,25027,100
01531,25027,100
01532,25027,100
01534,25027,100
01535,25027,100
01536,25027,100
01537,25027,100
01540,25027,100
01541,25027,100
01542,25027,100
01543,25027,100
01545,25027,100
01550,25027,100
01560,25027,100
01561,25027,100
01562,25027,100
01564,25027,100
01566,25027,100
01568,25027,100
01569,25027,100
01570,25027,100
01571,25027,100
01581,25027,100
01583,25027,100
01585,25027,100
01588,25027,100
01590,25027,100
01602,25027,100
01603,25027,100
01604,25027,100
01605,25027,100
01606,25027,100
01607,25027,100
01608,25027,100
01609,25027,100
01610,25027,100
01611,25027,100
01612,25027,100
01701,25017,100
01702,25017,100
01718,25017,100
01719,25017,100
01720,25017,100
01721,25017,100
01730,25017,100
01731,25017,100
01740,25027,100
01741,25017,100
01742,25017,100
01745,25027,100
01746,25017,100
01747,25027,100
01748,25017,100
01749,25017,100
01752,25017,100
01754,25017,100
01756,25027,100
01757,25027,100
01760,25017,100
01770,25017,100
01772,25027,100
01773,25017,100
01775,25017,100
01776,25017,100
01778,25017,100
01801,25017,100
01803,25017,100
01810,25009,100
01821,25017,100
01824,25017,100
01826,25017,100
01827,25017,100
01830,25009,100
01832,25009,100
01833,25009,100
01834,25009,100
01835,25009,100
01840,25009,100
01841,25009,100
01843,25009,100
01844,25009,100
01845,25009,100
01850,25017,100
01851,25017,100
01852,25017,100
01854,25017,100
01860,25009,100
01862,25017,100
01863,25017,100
01864,25017,100
01867,25017,100
01876,25017,100
01879,25017,100
01880,25017,100
01886,25017,100
01887,25017,100
01890,25017,100
01901,25009,100
01902,25009,100
01904,25009,100
01905,25009,100
01906,25009,100
01907,25009,100
01908,25009,100
01913,25009,100
01915,25009,100
01921,25009,100
01922,25009,100
01923,25009,100
01929,25009,100
01930,25009,100
01937,25009,100
01938,25009,100
01940,25009,98.36
01940,25017,1.64
01944,25009,100
01945,25009,100
01949,25009,100
01950,25009,100
01951,25009,100
01952,25009,100
01960,25009,100
01966,25009,100
01969,25009,100
01970,25009,100
01982,25009,100
01983,25009,100
01984,25009,100
01985,25009,100
02019,25021,100
02021,25021,100
02025,25021,100
02026,25021,100
02030,25021,100
02032,25021,100
02035,25021,100
02038,25021,100
02043,25023,100
02045,25023,100
02047,25023,100
02048,25005,100
02050,25023,100
02052,25021,100
02053,25021,100
02054,25021,100
02056,25021,100
02061,25023,100
02062,25021,100
02066,25023,100
02067,25021,100
02071,25021,100
02072,25021,100
02081,25021,100
02090,25021,100
02093,25021,100
02108,25025,100
02109,25025,100
02110,25025,100
02111,25025,100
02113,25025,100
02114,25025,100
02115,25025,100
02116,25025,100
02118,25025,100
02119,25025,100
02120,25025,100
02121,25025,100
02122,25025,100
02124,25025,100
02125,25025,100
02126,25025,100
02127,25025,100
02128,25025,100
02129,25025,100
02130,25025,100
02131,25025,100
02132,25025,100
02134,25025,100
02135,25025,100
02136,25025,100
02138,25017,100
02139,25017,100
02140,25017,100
02141,25017,100
02142,25017,100
02143,25017,100
02144,25017,100
02145,25017,100
02148,25017,100
02149,25017,100
02149,25025,0
02150,25025,100
02151,25025,100
02152,25025,100
02155,25017,100
02163,25025,100
02169,25021,100
02170,25021,100
02171,25021,100
02176,25017,100
02180,25017,100
02184,25021,100
02186,25021,100
02188,25021,100
02189,25021,100
02190,25021,100
02191,25021,100
02199,25025,100
02203,25025,0
02210,25025,100
02215,25021,0
02215,25025,100
02301,25023,100
02302,25023,100
02322,25021,100
02324,25023,100
02330,25023,100
02332,25023,100
02333,25023,100
02338,25023,100
02339,25023,100
02341,25023,100
02343,25021,100
02346,25023,100
02347,25023,100
02351,25023,100
02356,25005,100
02357,25005,100
02359,25023,100
02360,25023,100
02364,25023,100
02366,25023,100
02367,25023,100
02368,25021,100
02370,25023,100
02375,25005,100
02379,25023,100
02382,25023,100
02420,25017,100
02421,25017,100
02445,25021,100
02446,25021,100
02451,25017,100
02452,25017,100
02453,25017,100
02457,25021,100
02458,25017,100
02459,25017,100
02460,25017,100
02461,25017,100
02462,25017,100
02464,25017,100
02465,25017,100
02466,25017,100
02467,25017,37.9
02467,25021,38.86
02467,25025,23.24
02468,25017,100
02472,25017,100
02474,25017,100
02476,25017,100
02478,25017,100
02481,25021,100
02482,25021,100
02492,25021,100
02493,25017,100
02494,25021,100
02532,25001,84.5
02532,25023,15.5
02534,25001,100
02535,25007,100
02536,25001,100
02537,25001,100
02538,25023,100
02539,25007,100
02540,25001,100
02542,25001,100
02543,25001,96.38
02543,25007,3.62
02553,25001,100
02554,25019,100
02556,25001,100
02557,25007,100
02558,25023,100
02559,25001,100
02561,25001,100
02562,25001,100
02563,25001,100
02564,25019,100
02568,25007,100
02571,25023,100
02575,25007,100
02576,25023,100
02584,25019,100
02601,25001,100
02630,25001,100
02631,25001,100
02632,25001,100
02633,25001,100
02635,25001,100
02637,25001,100
02638,25001,100
02639,25001,100
02641,25001,100
02642,25001,100
02643,25001,100
02644,25001,100
02645,25001,100
02646,25001,100
02647,25001,100
02648,25001,100
02649,25001,100
02650,25001,100
02651,25001,100
02652,25001,100
02653,25001,100
02655,25001,100
02657,25001,100
02659,25001,100
02660,25001,100
02663,25001,100
02664,25001,100
02666,25001,100
02667,25001,100
02668,25001,100
02669,25001,100
02670,25001,100
02671,25001,100
02672,25001,100
02673,25001,100
02675,25001,100
02702,25005,100
02703,25005,100
02713,25007,100
02715,25005,100
02717,25005,100
02718,25005,100
02719,25005,100
02720,25005,100
02721,25005,100
02723,25005,100
02724,25005,100
02725,25005,100
02726,25005,100
02738,25023,100
02739,25023,100
02740,25005,100
02743,25005,100
02744,25005,100
02745,25005,100
02746,25005,100
02747,25005,100
02748,25005,100
02760,25005,100
02762,25021,100
02763,25005,100
02764,25005,100
02766,25005,100
02767,25005,100
02769,25005,100
02770,25023,100
02771,25005,100
02777,25005,100
02779,25005,100
02780,25005,100
02790,25005,100
02791,25005,100
02802,44007,100
02804,44009,100
02806,44001,100
02807,44009,100
02808,44009,100
02809,44001,100
02812,44009,100
02813,44009,100
02814,44007,100
02815,44007,100
02816,44003,99.98
02816,44007,0.02
02817,44003,100
02818,44003,100
02822,44009,100
02825,44007,100
02826,44007,100
02827,44003,100
02828,44007,100
02830,44007,100
02831,44003,3.87
02831,44007,96.13
02832,44009,100
02833,44009,100
02835,44005,100
02836,44009,100
02837,44005,100
02838,44007,100
02839,44007,100
02840,44005,100
02841,44005,100
02842,44005,100
02852,44009,100
02857,44007,100
02858,44007,100
02859,44007,100
02860,44007,100
02861,25005,0.05
02861,44007,99.95
02863,44007,100
02864,44007,100
02865,44007,100
02871,44005,100
02872,44005,100
02873,44009,100
02874,44009,100
02875,44009,100
02876,44007,100
02878,44005,100
02879,44009,100
02881,44009,100
02882,44009,100
02885,44001,100
02886,44003,100
02888,44003,100
02889,44003,100
02891,44009,100
02892,44009,100
02893,44003,100
02894,44009,100
02895,44007,100
02896,44007,100
02898,44009,100
02903,44007,100
02904,44007,100
02905,44007,100
02906,44007,100
02907,44007,100
02908,44007,100
02909,44007,100
02910,44007,100
02911,44007,100
02912,44007,100
02914,44007,100
02915,44007,100
02916,44007,100
02917,44007,100
02919,44007,100
02920,44007,100
02921,44007,100
03031,33011,100
03032,33015,100
03033,33011,100
03034,33015,100
03036,33015,100
03037,33015,100
03038,33015,100
03042,33015,100
03043,33011,100
03044,33015,100
03045,33011,100
03046,33013,100
03047,33011,100
03048,33011,100
03049,33011,100
03051,33011,100
03052,33011,100
03053,33015,100
03054,33011,100
03055,33011,100
03057,33011,100
03060,33011,100
03062,33011,100
03063,33011,100
03064,33011,100
03070,33011,100
03071,33011,100
03076,33011,100
03077,33015,100
03079,33015,100
03082,33011,100
03084,33011,100
03086,33011,100
03087,33015,100
03101,33011,100
03102,33011,100
03103,33011,100
03103,33015,0
03104,33011,99.77
03104,33013,0.23
03106,33013,100
03109,33011,100
03110,33011,100
03215,33009,100
03216,33013,100
03217,33009,100
03218,33001,100
03220,33001,98.91
03220,33013,1.09
03221,33013,100
03222,33009,100
03223,33009,100
03224,33013,100
03225,33001,99.26
03225,33017,0.74
03226,33001,100
03227,33003,100
03229,33013,100
03230,33013,100
03231,33013,100
03233,33013,100
03234,33013,100
03235,33013,100
03237,33001,100
03238,33009,100
03240,33009,100
03241,33009,100
03242,33013,100
03243,33013,100
03244,33011,100
03245,33009,100
03246,33001,100
03249,33001,100
03251,33009,100
03253,33001,100
03254,33001,0.12
03254,33003,99.88
03255,33013,100
03256,33001,100
03257,33013,100
03258,33013,100
03259,33003,100
03260,33013,100
03261,33015,100
03262,33009,100
03263,33013,100
03264,33009,100
03266,33009,100
03268,33013,100
03269,33001,100
03273,33013,100
03275,33013,100
03276,33001,42.85
03276,33013,57.15
03278,33013,100
03279,33009,100
03280,33019,100
03281,33011,100
03282,33009,100
03284,33019,100
03285,33009,100
03287,33013,100
03290,33015,100
03291,33015,100
03293,33009,100
03301,33013,100
03303,33013,100
03304,33013,100
03307,33013,100
03431,33005,100
03440,33011,100
03441,33005,100
03442,33011,100
03443,33005,100
03444,33005,100
03445,33005,100
03446,33005,100
03447,33005,100
03448,33005,100
03449,33011,100
03450,33005,100
03451,33005,100
03452,33005,100
03455,33005,100
03456,33005,100
03457,33005,100
03458,33005,0.11
03458,33011,99.89
03461,33005,100
03462,33005,100
03464,33005,100
03465,33005,100
03466,33005,100
